name,ssd
603323:002958,329.6275097205368
600919:601658,329.7699410439868
601818:002948,329.7823928641977
601169:601288,329.8434739254445
600016:601998,329.8906070444081
600016:600015,329.9357115806511
601998:601398,329.9832668636634
601916:002948,330.0037693069246
600015:601398,330.02002133838386
000001:601166,330.0630194965969
601939:600016,330.12157830098363
603323:601229,330.1477796424841
601939:601398,330.16782318962714
600016:002958,330.2354683869502
601577:600000,330.31006059454876
601818:601009,330.3499532408016
601818:600928,330.4834482293595
601398:002958,330.48914330263
601166:601288,330.5014301176412
601009:601916,330.5578644081072
601998:002948,330.55950671175566
600015:002948,330.58930726800844
600928:601916,330.59908543000773
601997:600908,330.6416882124501
002936:002807,330.6942427691577
601939:002948,330.72012561875897
600926:002936,330.73418851383747
601169:601577,330.7996909728328
601838:600000,330.8493700888828
601997:601988,330.8820621274191
600036:600000,331.0307391155994
601009:601998,331.11831925732173
600016:601229,331.1452247759508
601009:600015,331.14758221152596
002948:002958,331.18484146280707
601398:601229,331.1906611377258
600928:600015,331.19742525215685
600928:601998,331.20073374394946
601939:600928,331.22058955597987
601009:601939,331.2707460258228
000001:601818,331.330442146373
601838:601169,331.3370302273201
002142:600000,331.410248348492
000001:601916,331.4686846902342
600036:601169,331.50845494177946
601166:601577,331.5344314127895
600000:601328,331.60289444724947
601658:002936,331.6217017507073
601009:002958,331.7292105206462
002948:601229,331.7622137001524
002142:601169,331.8842864258807
601818:601288,331.9272304108187
000001:601998,332.0728756780625
000001:600015,332.1042009226301
601166:601838,332.1045371634363
000001:601939,332.12810573882865
601169:601328,332.1365016865722
601916:601288,332.2112217911694
600928:601229,332.2585170374147
600928:002958,332.29159815739797
600036:601166,332.3055069421403
601009:601229,332.3062485382266
603323:600016,332.40296479185736
603323:601398,332.4767558382326
600000:002807,332.68081646470677
002142:601166,332.69576529416736
601998:601288,332.73914790048843
600926:600000,332.7853907376171
600015:601288,332.7858190258823
601166:601328,332.7967669184883
600919:600908,332.88137172571226
601818:601577,332.9110330101821
601939:601288,332.99042174419424
601288:002958,333.02738887469764
000001:002958,333.044842563755
603323:002948,333.09457518032804
601577:601916,333.1463211836436
600919:601988,333.1473262588596
000001:601229,333.1714787550166
601169:002807,333.20129489519144
600926:601169,333.2780477474999
601838:601818,333.4401981946207
600016:601398,333.47757763596456
601658:600000,333.6166449490331
600036:601818,333.62582239837946
601009:603323,333.6275245989322
601838:601916,333.6614259853594
600928:603323,333.7013161950296
601577:601998,333.7069126922232
601577:600015,333.74737330311893
600036:601916,333.83386185442225
601166:002807,333.8722371875434
601577:601939,333.8817789251695
002142:601818,334.0035845498782
600016:002948,334.0216980276194
601288:601229,334.02533853415656
601166:600926,334.05858680769694
002948:601398,334.08613159115606
601169:601658,334.167572533752
002142:601916,334.1866335707613
601818:601328,334.21430301558496
601838:601998,334.23868016547
601577:002958,334.28642770995157
601838:600015,334.28924700097036
